gas,source,licence,reference,doi
hfc134a,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
hfc134a,NOAA HATS,"Free for scientific use, offer co-authorship. See https://gml.noaa.gov/hats/hats_datause.html",https://gml.noaa.gov/hats/,https://gml.noaa.gov/hats/
hfc143a,"Velders et al., 2022",Other (Open),"Velders, G. J. M., Daniel, J. S., ... Weiss, R. F., and Young, D.: Projections of hydrofluorocarbon (HFC) emissions and the resulting global warming based on recent trends in observed abundances and current policies, Atmos. Chem. Phys., 22, 6087-6101, https://doi.org/10.5194/acp-22-6087-2022, 2022.",https://doi.org/10.5194/acp-22-6087-2022
hfc143a,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
hfc143a,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
hfc143a,NOAA HATS,"Free for scientific use, offer co-authorship. See https://gml.noaa.gov/hats/hats_datause.html",https://gml.noaa.gov/hats/,https://gml.noaa.gov/hats/
hfc152a,"Velders et al., 2022",Other (Open),"Velders, G. J. M., Daniel, J. S., ... Weiss, R. F., and Young, D.: Projections of hydrofluorocarbon (HFC) emissions and the resulting global warming based on recent trends in observed abundances and current policies, Atmos. Chem. Phys., 22, 6087-6101, https://doi.org/10.5194/acp-22-6087-2022, 2022.",https://doi.org/10.5194/acp-22-6087-2022
hfc152a,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
hfc152a,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
hfc152a,NOAA HATS,"Free for scientific use, offer co-authorship. See https://gml.noaa.gov/hats/hats_datause.html",https://gml.noaa.gov/hats/,https://gml.noaa.gov/hats/
hfc227ea,"Velders et al., 2022",Other (Open),"Velders, G. J. M., Daniel, J. S., ... Weiss, R. F., and Young, D.: Projections of hydrofluorocarbon (HFC) emissions and the resulting global warming based on recent trends in observed abundances and current policies, Atmos. Chem. Phys., 22, 6087-6101, https://doi.org/10.5194/acp-22-6087-2022, 2022.",https://doi.org/10.5194/acp-22-6087-2022
hfc227ea,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
hfc227ea,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
